country,time,new_cases,confirmed_cases,confirmed_cases_per_million,people_vaccinated,people_fully_vaccinated,confirmed_deaths
Algeria,2021-12-19,262,"214,592","4,809.69",15.73%,12.45%,"6,184"
Algeria,2021-12-20,243,"214,835","4,815.13",15.73%,12.45%,"6,190"
Andorra,2021-12-05,,"18,010","232,825.71",72.52%,65.07%,132
Andorra,2021-12-06,621,"18,631","240,853.74",72.52%,65.07%,133
Andorra,2021-12-07,184,"18,815","243,232.41",72.52%,65.07%,133
Andorra,2021-12-08,0,"18,815","243,232.41",72.52%,65.07%,133
Andorra,2021-12-09,457,"19,272","249,140.32",72.52%,65.07%,133
Andorra,2021-12-10,168,"19,440","251,312.15",72.52%,65.07%,133
Andorra,2021-12-11,0,"19,440","251,312.15",72.52%,65.07%,133
Andorra,2021-12-12,0,"19,440","251,312.15",73.21%,65.35%,133
Andorra,2021-12-13,0,"19,440","251,312.15",73.21%,65.35%,133
Andorra,2021-12-14,696,"20,136","260,309.74",73.21%,65.35%,134
Andorra,2021-12-15,0,"20,136","260,309.74",73.21%,65.35%,134
Andorra,2021-12-16,413,"20,549","265,648.84",73.21%,65.35%,134
Andorra,2021-12-17,0,"20,549","265,648.84",73.21%,65.35%,134
Andorra,2021-12-18,0,"20,549","265,648.84",73.21%,65.35%,134
Andorra,2021-12-19,0,"20,549","265,648.84",73.21%,65.35%,134
Andorra,2021-12-20,513,"21,062","272,280.68",73.21%,65.35%,137
Angola,2021-12-05,,"65,259","1,923.14",18.47%,9.05%,"1,735"
Angola,2021-12-06,0,"65,259","1,923.14",19.86%,9.67%,"1,735"
Angola,2021-12-07,42,"65,301","1,924.38",19.86%,9.67%,"1,735"
Angola,2021-12-08,31,"65,332","1,925.29",19.86%,9.67%,"1,735"
Angola,2021-12-09,14,"65,346","1,925.70",20.64%,9.77%,"1,736"
Angola,2021-12-10,25,"65,371","1,926.44",20.64%,9.77%,"1,737"
Angola,2021-12-11,26,"65,397","1,927.20",20.64%,9.77%,"1,737"
Angola,2021-12-12,7,"65,404","1,927.41",20.64%,9.77%,"1,737"
Angola,2021-12-13,0,"65,404","1,927.41",20.64%,9.77%,"1,737"
Angola,2021-12-14,27,"65,431","1,928.21",20.64%,9.77%,"1,737"
Angola,2021-12-15,134,"65,565","1,932.15",21.35%,10.49%,"1,737"
Angola,2021-12-16,83,"65,648","1,934.60",21.35%,10.49%,"1,737"
Angola,2021-12-17,112,"65,760","1,937.90",21.35%,10.49%,"1,738"
Angola,2021-12-18,108,"65,868","1,941.08",21.35%,10.49%,"1,738"
Angola,2021-12-19,70,"65,938","1,943.15",21.35%,10.49%,"1,738"
Angola,2021-12-20,148,"66,086","1,947.51",21.35%,10.49%,"1,738"
Anguilla,2021-12-05,,"1,414","93,487.60",66.37%,60.91%,3
Anguilla,2021-12-06,55,"1,469","97,123.97",66.37%,60.91%,4
Anguilla,2021-12-07,0,"1,469","97,123.97",66.37%,60.91%,4
Anguilla,2021-12-08,0,"1,469","97,123.97",66.64%,60.98%,4
Anguilla,2021-12-09,0,"1,469","97,123.97",66.64%,60.98%,4
Anguilla,2021-12-10,54,"1,523","100,694.21",66.64%,60.98%,4
Anguilla,2021-12-11,0,"1,523","100,694.21",66.64%,60.98%,4
Anguilla,2021-12-12,0,"1,523","100,694.21",66.64%,60.98%,4
Anguilla,2021-12-13,0,"1,523","100,694.21",66.64%,60.98%,4
Anguilla,2021-12-14,69,"1,592","105,256.20",66.64%,60.98%,4
Anguilla,2021-12-15,0,"1,592","105,256.20",66.64%,60.98%,4
Anguilla,2021-12-16,0,"1,592","105,256.20",66.64%,60.98%,4
Anguilla,2021-12-17,0,"1,592","105,256.20",66.64%,60.98%,4
Anguilla,2021-12-18,0,"1,592","105,256.20",66.64%,60.98%,4
Anguilla,2021-12-19,0,"1,592","105,256.20",66.64%,60.98%,4
Anguilla,2021-12-20,37,"1,629","107,702.48",66.64%,60.98%,5
Antigua and Barbuda,2021-12-05,,"4,147","42,004.29",62.21%,58.08%,117
Antigua and Barbuda,2021-12-06,1,"4,148","42,014.42",62.21%,58.08%,117
Antigua and Barbuda,2021-12-07,0,"4,148","42,014.42",62.21%,58.08%,117
Antigua and Barbuda,2021-12-08,3,"4,151","42,044.81",62.21%,58.08%,117
Antigua and Barbuda,2021-12-09,0,"4,151","42,044.81",62.21%,58.08%,117
Antigua and Barbuda,2021-12-10,8,"4,159","42,125.84",62.72%,58.63%,117
Antigua and Barbuda,2021-12-11,0,"4,159","42,125.84",62.72%,58.63%,117
Antigua and Barbuda,2021-12-12,3,"4,162","42,156.23",62.72%,58.63%,117
Antigua and Barbuda,2021-12-13,0,"4,162","42,156.23",62.72%,58.63%,117
Antigua and Barbuda,2021-12-14,15,"4,177","42,308.16",62.72%,58.63%,117
Antigua and Barbuda,2021-12-15,0,"4,177","42,308.16",62.72%,58.63%,117
Antigua and Barbuda,2021-12-16,1,"4,178","42,318.29",62.72%,58.63%,117
Antigua and Barbuda,2021-12-17,8,"4,186","42,399.32",62.72%,58.63%,117
Antigua and Barbuda,2021-12-18,12,"4,198","42,520.86",62.72%,58.63%,117
Antigua and Barbuda,2021-12-19,0,"4,198","42,520.86",62.95%,59.26%,117
Antigua and Barbuda,2021-12-20,0,"4,198","42,520.86",62.95%,59.26%,117
Argentina,2021-12-05,,5.34 million,"117,105.13",81.12%,66.36%,"116,646"
Argentina,2021-12-06,"2,477",5.34 million,"117,159.45",81.12%,66.36%,"116,680"
Argentina,2021-12-07,"3,089",5.35 million,"117,227.18",81.26%,66.65%,"116,703"
Argentina,2021-12-08,"1,881",5.35 million,"117,268.42",81.47%,67.18%,"116,708"
Argentina,2021-12-09,"2,744",5.35 million,"117,328.59",81.47%,67.18%,"116,719"
Argentina,2021-12-10,"3,573",5.35 million,"117,406.94",81.71%,67.69%,"116,748"
Argentina,2021-12-11,"2,445",5.36 million,"117,460.55",81.78%,67.85%,"116,760"
Argentina,2021-12-12,"1,570",5.36 million,"117,494.97",81.82%,67.94%,"116,771"
Argentina,2021-12-13,"3,512",5.36 million,"117,571.98",81.93%,68.18%,"116,792"
Argentina,2021-12-14,"4,555",5.37 million,"117,671.86",82.07%,68.48%,"116,826"
Argentina,2021-12-15,"4,819",5.37 million,"117,777.53",82.19%,68.76%,"116,857"
Argentina,2021-12-16,"5,301",5.38 million,"117,893.76",82.30%,68.98%,"116,874"
Argentina,2021-12-17,"5,648",5.38 million,"118,017.60",82.40%,69.19%,"116,892"
Argentina,2021-12-18,"4,163",5.39 million,"118,108.89",82.46%,69.32%,"116,899"
Argentina,2021-12-19,"3,254",5.39 million,"118,180.24",82.49%,69.40%,"116,903"
Argentina,2021-12-20,"5,337",5.40 million,"118,297.26",82.59%,69.61%,"116,930"
Armenia,2021-12-05,,"340,723","114,793.90",26.93%,14.72%,"7,683"
Armenia,2021-12-06,95,"340,818","114,825.91",28.16%,17.42%,"7,691"
Armenia,2021-12-07,240,"341,058","114,906.77",28.16%,17.42%,"7,718"
Armenia,2021-12-08,410,"341,468","115,044.90",28.16%,17.42%,"7,728"
Armenia,2021-12-09,300,"341,768","115,145.98",28.16%,17.42%,"7,747"
Armenia,2021-12-10,347,"342,115","115,262.89",28.16%,17.42%,"7,767"
Armenia,2021-12-11,290,"342,405","115,360.59",28.16%,17.42%,"7,788"
Armenia,2021-12-12,133,"342,538","115,405.40",29.30%,19.63%,"7,802"
Armenia,2021-12-13,66,"342,604","115,427.64",29.30%,19.63%,"7,819"
Armenia,2021-12-14,161,"342,765","115,481.88",29.30%,19.63%,"7,845"
Armenia,2021-12-15,212,"342,977","115,553.30",29.30%,19.63%,"7,856"
Armenia,2021-12-16,180,"343,157","115,613.95",29.30%,19.63%,"7,874"
Armenia,2021-12-17,193,"343,350","115,678.97",29.30%,19.63%,"7,885"
Armenia,2021-12-18,156,"343,506","115,731.53",29.30%,19.63%,"7,893"
Armenia,2021-12-19,130,"343,636","115,775.33",30.45%,21.66%,"7,899"
Armenia,2021-12-20,72,"343,708","115,799.59",30.45%,21.66%,"7,903"
Aruba,2021-12-05,,"16,450","153,458.65",78.13%,72.91%,174
Aruba,2021-12-06,0,"16,450","153,458.65",78.17%,72.97%,174
Aruba,2021-12-07,34,"16,484","153,775.83",78.22%,73.02%,175
Aruba,2021-12-08,21,"16,505","153,971.73",78.25%,73.07%,176
Aruba,2021-12-09,26,"16,531","154,214.28",78.27%,73.11%,176
Aruba,2021-12-10,18,"16,549","154,382.20",78.30%,73.14%,177
Aruba,2021-12-11,26,"16,575","154,624.75",78.30%,73.14%,177
Aruba,2021-12-12,18,"16,593","154,792.67",78.30%,73.14%,177
Aruba,2021-12-13,0,"16,593","154,792.67",78.35%,73.19%,177
Aruba,2021-12-14,53,"16,646","155,287.09",78.37%,73.21%,178
Aruba,2021-12-15,27,"16,673","155,538.97",78.41%,73.25%,178
Aruba,2021-12-16,43,"16,716","155,940.11",78.44%,73.27%,178
Aruba,2021-12-17,35,"16,751","156,266.62",78.54%,73.35%,180
Aruba,2021-12-18,27,"16,778","156,518.49",78.54%,73.35%,180
Aruba,2021-12-19,29,"16,807","156,789.03",78.54%,73.35%,180
Aruba,2021-12-20,41,"16,848","157,171.51",78.68%,73.42%,180
Asia,2021-12-05,,82.53 million,"17,640.77",63.79%,50.38%,1.23 million
Asia,2021-12-06,"74,161",82.61 million,"17,656.62",63.87%,50.51%,1.23 million
Asia,2021-12-07,"83,308",82.69 million,"17,674.43",63.95%,50.66%,1.23 million
Asia,2021-12-08,"89,740",82.78 million,"17,693.61",64.05%,50.88%,1.23 million
Asia,2021-12-09,"83,431",82.86 million,"17,711.44",64.16%,51.14%,1.23 million
Asia,2021-12-10,"79,712",82.94 million,"17,728.48",64.64%,52.06%,1.23 million
Asia,2021-12-11,"77,050",83.02 million,"17,744.95",64.82%,52.38%,1.24 million
Asia,2021-12-12,"67,642",83.09 million,"17,759.41",64.89%,52.61%,1.24 million
Asia,2021-12-13,"70,407",83.16 million,"17,774.46",64.94%,52.75%,1.24 million
Asia,2021-12-14,"81,673",83.24 million,"17,791.91",65.08%,52.99%,1.24 million
Asia,2021-12-15,"79,297",83.32 million,"17,808.86",65.14%,53.13%,1.24 million
Asia,2021-12-16,"98,320",83.42 million,"17,829.88",65.20%,53.25%,1.24 million
Asia,2021-12-17,"63,502",83.48 million,"17,843.45",65.31%,53.95%,1.24 million
Asia,2021-12-18,"69,457",83.55 million,"17,858.30",65.36%,54.10%,1.24 million
Asia,2021-12-19,"74,326",83.62 million,"17,874.19",65.45%,54.39%,1.25 million
Asia,2021-12-20,"65,917",83.69 million,"17,888.27",65.53%,54.51%,1.25 million
Australia,2021-12-05,,"219,121","8,496.94",77.97%,73.71%,"2,056"
Australia,2021-12-06,"1,434","220,555","8,552.55",78.04%,73.89%,"2,065"
Australia,2021-12-07,"1,705","222,260","8,618.67",78.11%,74.07%,"2,072"
Australia,2021-12-08,"1,654","223,914","8,682.80",78.18%,74.26%,"2,082"
Australia,2021-12-09,"1,711","225,625","8,749.15",78.25%,74.44%,"2,084"
Australia,2021-12-10,"1,757","227,382","8,817.28",78.32%,74.60%,"2,100"
Australia,2021-12-11,"1,543","228,925","8,877.12",78.35%,74.69%,"2,104"
Australia,2021-12-12,"1,843","230,768","8,948.58",78.36%,74.73%,"2,106"
Australia,2021-12-13,"1,970","232,738","9,024.97",78.45%,74.95%,"2,113"
Australia,2021-12-14,"2,809","235,547","9,133.90",78.52%,75.13%,"2,117"
Australia,2021-12-15,"3,423","238,970","9,266.64",78.60%,75.31%,"2,126"
Australia,2021-12-16,"3,802","242,772","9,414.07",78.68%,75.49%,"2,134"
Australia,2021-12-17,"4,017","246,789","9,569.84",78.76%,75.67%,"2,142"
Australia,2021-12-18,"3,862","250,651","9,719.59",78.80%,75.77%,"2,146"
Australia,2021-12-19,"4,031","254,682","9,875.91",78.83%,75.82%,"2,146"
Australia,2021-12-20,"4,492","259,174","10,050.09",78.90%,75.96%,"2,154"
Austria,2021-12-05,,1.20 million,"132,529.96",71.18%,67.27%,"12,796"
Austria,2021-12-06,"4,625",1.20 million,"133,041.40",71.26%,67.45%,"12,844"
Austria,2021-12-07,"4,233",1.21 million,"133,509.50",71.38%,67.69%,"12,921"
Austria,2021-12-08,"5,663",1.21 million,"134,135.72",71.45%,67.80%,"12,979"
Austria,2021-12-09,"4,437",1.22 million,"134,626.38",71.55%,68.03%,"13,011"
Austria,2021-12-10,"3,659",1.22 million,"135,030.99",71.70%,68.37%,"13,076"
Austria,2021-12-11,"4,460",1.23 million,"135,524.19",71.83%,68.57%,"13,143"
Austria,2021-12-12,"2,479",1.23 million,"135,798.32",71.87%,68.66%,"13,162"
Austria,2021-12-13,"4,170",1.23 million,"136,259.45",71.96%,68.85%,"13,218"
Austria,2021-12-14,"2,859",1.24 million,"136,575.60",72.08%,69.06%,"13,282"
Austria,2021-12-15,"4,224",1.24 million,"137,042.70",72.20%,69.29%,"13,333"
Austria,2021-12-16,"3,046",1.24 million,"137,379.53",72.32%,69.52%,"13,386"
Austria,2021-12-17,"2,899",1.25 million,"137,700.11",72.46%,69.83%,"13,438"
Austria,2021-12-18,"2,167",1.25 million,"137,939.74",72.57%,70.02%,"13,462"
Austria,2021-12-19,"2,242",1.25 million,"138,187.67",72.62%,70.13%,"13,479"
Austria,2021-12-20,"1,792",1.25 million,"138,385.83",72.71%,70.32%,"13,496"
Azerbaijan,2021-12-05,,"596,388","58,335.90",49.87%,44.93%,"7,967"
Azerbaijan,2021-12-06,585,"596,973","58,393.13",49.87%,44.93%,"7,983"
Azerbaijan,2021-12-07,"1,530","598,503","58,542.78",49.92%,44.97%,"8,004"
Azerbaijan,2021-12-08,"1,210","599,713","58,661.14",49.96%,45.01%,"8,019"
Azerbaijan,2021-12-09,"1,315","601,028","58,789.77",49.99%,45.05%,"8,038"
Azerbaijan,2021-12-10,"1,109","602,137","58,898.24",50.03%,45.09%,"8,055"
Azerbaijan,2021-12-11,"1,117","603,254","59,007.50",50.06%,45.13%,"8,070"
Azerbaijan,2021-12-12,"1,226","604,480","59,127.42",50.09%,45.16%,"8,088"
Azerbaijan,2021-12-13,518,"604,998","59,178.09",50.09%,45.16%,"8,104"
Azerbaijan,2021-12-14,922,"605,920","59,268.28",50.13%,45.21%,"8,123"
Azerbaijan,2021-12-15,"1,156","607,076","59,381.35",50.16%,45.26%,"8,137"
Azerbaijan,2021-12-16,984,"608,060","59,477.60",50.20%,45.30%,"8,149"
Azerbaijan,2021-12-17,755,"608,815","59,551.45",50.23%,45.33%,"8,167"
Azerbaijan,2021-12-18,582,"609,397","59,608.38",50.26%,45.37%,"8,182"
Azerbaijan,2021-12-19,921,"610,318","59,698.47",50.29%,45.40%,"8,199"
Azerbaijan,2021-12-20,577,"610,895","59,754.91",50.29%,45.41%,"8,208"
Bahamas,2021-12-05,,"22,825","57,506.16",38.22%,34.84%,695
Bahamas,2021-12-06,14,"22,839","57,541.43",38.22%,34.84%,705
Bahamas,2021-12-07,7,"22,846","57,559.07",38.22%,34.84%,705
Bahamas,2021-12-08,0,"22,846","57,559.07",38.22%,34.84%,705
Bahamas,2021-12-09,13,"22,859","57,591.82",38.22%,34.84%,705
Bahamas,2021-12-10,22,"22,881","57,647.25",38.83%,36.20%,708
Bahamas,2021-12-11,0,"22,881","57,647.25",38.83%,36.20%,708
Bahamas,2021-12-12,0,"22,881","57,647.25",38.83%,36.20%,708
Bahamas,2021-12-13,26,"22,907","57,712.75",38.83%,36.20%,708
Bahamas,2021-12-14,0,"22,907","57,712.75",38.83%,36.20%,708
Bahamas,2021-12-15,43,"22,950","57,821.09",38.83%,36.73%,708
Bahamas,2021-12-16,21,"22,971","57,874.00",38.83%,36.73%,713
Bahamas,2021-12-17,24,"22,995","57,934.46",38.83%,36.73%,713
Bahamas,2021-12-18,0,"22,995","57,934.46",38.83%,36.73%,713
Bahamas,2021-12-19,0,"22,995","57,934.46",38.83%,36.73%,713
Bahamas,2021-12-20,117,"23,112","58,229.24",38.83%,36.73%,713
Bahrain,2021-12-05,,"277,831","158,915.40",68.09%,66.47%,"1,394"
Bahrain,2021-12-06,25,"277,856","158,929.70",68.11%,66.51%,"1,394"
Bahrain,2021-12-07,38,"277,894","158,951.44",68.13%,66.54%,"1,394"
Bahrain,2021-12-08,41,"277,935","158,974.89",68.15%,66.57%,"1,394"
Bahrain,2021-12-09,29,"277,964","158,991.48",68.17%,66.61%,"1,394"
Bahrain,2021-12-10,33,"277,997","159,010.35",68.19%,66.63%,"1,394"
Bahrain,2021-12-11,40,"278,037","159,033.23",68.22%,66.65%,"1,394"
Bahrain,2021-12-12,28,"278,065","159,049.24",68.24%,66.68%,"1,394"
Bahrain,2021-12-13,0,"278,065","159,049.24",68.26%,66.71%,"1,394"
Bahrain,2021-12-14,84,"278,149","159,097.29",68.28%,66.74%,"1,394"
Bahrain,2021-12-15,53,"278,202","159,127.61",68.30%,66.78%,"1,394"
Bahrain,2021-12-16,55,"278,257","159,159.07",68.32%,66.81%,"1,394"
Bahrain,2021-12-17,52,"278,309","159,188.81",68.33%,66.82%,"1,394"
Bahrain,2021-12-18,101,"278,410","159,246.58",68.35%,66.85%,"1,394"
Bahrain,2021-12-19,89,"278,499","159,297.49",68.38%,66.88%,"1,394"
Bahrain,2021-12-20,101,"278,600","159,355.26",68.42%,66.93%,"1,394"
Bangladesh,2021-12-05,,1.58 million,"9,485.33",38.65%,22.74%,"28,001"
Bangladesh,2021-12-06,277,1.58 million,"9,486.99",39.06%,22.93%,"28,005"
Bangladesh,2021-12-07,291,1.58 million,"9,488.74",39.19%,23.15%,"28,010"
Bangladesh,2021-12-08,277,1.58 million,"9,490.41",39.38%,23.84%,"28,016"
Bangladesh,2021-12-09,262,1.58 million,"9,491.98",39.59%,24.50%,"28,016"
Bangladesh,2021-12-10,269,1.58 million,"9,493.60",51.43%,25.05%,"28,017"
Bangladesh,2021-12-11,177,1.58 million,"9,494.67",51.58%,25.29%,"28,022"
Bangladesh,2021-12-12,329,1.58 million,"9,496.64",51.71%,25.72%,"28,028"
Bangladesh,2021-12-13,385,1.58 million,"9,498.96",52.03%,26.06%,"28,031"
Bangladesh,2021-12-14,295,1.58 million,"9,500.73",52.42%,26.46%,"28,034"
Bangladesh,2021-12-15,297,1.58 million,"9,502.52",52.43%,26.56%,"28,038"
Bangladesh,2021-12-16,257,1.58 million,"9,504.06",52.51%,26.69%,"28,041"
Bangladesh,2021-12-17,191,1.58 million,"9,505.21",52.64%,26.90%,"28,043"
Bangladesh,2021-12-18,122,1.58 million,"9,505.95",52.64%,26.90%,"28,047"
Bangladesh,2021-12-19,211,1.58 million,"9,507.22",52.64%,26.90%,"28,048"
Bangladesh,2021-12-20,260,1.58 million,"9,508.78",52.64%,26.90%,"28,050"
Barbados,2021-12-05,,"26,095","90,699.60",53.54%,48.06%,238
Barbados,2021-12-06,105,"26,200","91,064.55",53.55%,48.11%,240
Barbados,2021-12-07,106,"26,306","91,432.98",53.59%,48.22%,240
Barbados,2021-12-08,127,"26,433","91,874.40",53.61%,48.26%,244
Barbados,2021-12-09,132,"26,565","92,333.20",53.64%,48.41%,246
Barbados,2021-12-10,103,"26,668","92,691.20",53.68%,48.57%,249
Barbados,2021-12-11,72,"26,740","92,941.46",53.69%,48.60%,251
Barbados,2021-12-12,0,"26,740","92,941.46",53.71%,48.65%,251
Barbados,2021-12-13,74,"26,814","93,198.66",53.72%,48.69%,253
Barbados,2021-12-14,135,"26,949","93,667.88",53.77%,48.89%,253
Barbados,2021-12-15,78,"27,027","93,938.99",53.83%,48.98%,254
Barbados,2021-12-16,44,"27,071","94,091.93",53.87%,49.10%,255
Barbados,2021-12-17,55,"27,126","94,283.09",53.92%,49.26%,256
Barbados,2021-12-18,43,"27,169","94,432.55",53.94%,49.32%,256
Barbados,2021-12-19,0,"27,169","94,432.55",53.96%,49.37%,256
Barbados,2021-12-20,49,"27,218","94,602.86",53.98%,49.45%,256
Belarus,2021-12-05,,"663,813","70,297.82",40.37%,30.35%,"5,162"
Belarus,2021-12-06,"1,312","665,125","70,436.76",40.37%,30.35%,"5,176"
Belarus,2021-12-07,"1,012","666,137","70,543.93",40.37%,30.35%,"5,193"
Belarus,2021-12-08,"1,756","667,893","70,729.90",40.37%,30.35%,"5,210"
Belarus,2021-12-09,"1,738","669,631","70,913.95",40.37%,30.35%,"5,227"
Belarus,2021-12-10,"1,801","671,432","71,104.68",40.37%,30.35%,"5,245"
Belarus,2021-12-11,"1,837","673,269","71,299.21",40.37%,30.35%,"5,261"
Belarus,2021-12-12,"1,454","674,723","71,453.19",43.04%,32.19%,"5,276"
Belarus,2021-12-13,"1,011","675,734","71,560.26",43.04%,32.19%,"5,286"
Belarus,2021-12-14,778,"676,512","71,642.65",43.04%,32.19%,"5,305"
Belarus,2021-12-15,"1,765","678,277","71,829.56",43.04%,32.19%,"5,322"
Belarus,2021-12-16,"1,596","679,873","71,998.58",43.04%,32.19%,"5,338"
Belarus,2021-12-17,"1,644","681,517","72,172.68",43.04%,32.19%,"5,355"
Belarus,2021-12-18,"1,655","683,172","72,347.94",43.04%,32.19%,"5,371"
Belarus,2021-12-19,"1,456","684,628","72,502.13",46.13%,34.19%,"5,385"
Belarus,2021-12-20,834,"685,462","72,590.45",46.13%,34.19%,"5,399"
Belgium,2021-12-05,,1.83 million,"157,102.35",76.21%,75.05%,"27,167"
Belgium,2021-12-06,"41,439",1.87 million,"160,664.75",76.23%,75.07%,"27,319"
Belgium,2021-12-07,"10,878",1.88 million,"161,599.90",76.24%,75.10%,"27,360"
Belgium,2021-12-08,"18,714",1.90 million,"163,208.69",76.27%,75.16%,"27,416"
Belgium,2021-12-09,"16,029",1.91 million,"164,586.66",76.29%,75.19%,"27,463"
Belgium,2021-12-10,"15,245",1.93 million,"165,897.23",76.31%,75.22%,"27,504"
Belgium,2021-12-11,0,1.93 million,"165,897.23",76.33%,75.25%,"27,504"
Belgium,2021-12-12,0,1.93 million,"165,897.23",76.33%,75.25%,"27,504"
Belgium,2021-12-13,"29,421",1.96 million,"168,426.47",76.35%,75.28%,"27,631"
Belgium,2021-12-14,"9,076",1.97 million,"169,206.71",76.37%,75.31%,"27,685"
Belgium,2021-12-15,"11,851",1.98 million,"170,225.51",76.40%,75.36%,"27,729"
Belgium,2021-12-16,0,1.98 million,"170,225.51",76.42%,75.39%,"27,729"
Belgium,2021-12-17,"10,040",1.99 million,"171,088.62",76.45%,75.43%,"27,763"
